CodigoSAP,Contenido,producto,Minimo,Maximo
42000663,Escuela Empresarial,Conferencia desarrollo humano,25,50
42002561,Viaje y Recreacion,Escenarios,1,1
42003126,Cultura,Auditorios y salones,5,60
40001107,Viaje y Recreacion,Alimentacion,N/A,N/A
40002735,Salud y Bienestar,Plan Capf,N/A,N/A
40003515,Cultura,Con - Versar Con: (1),10,40
42000032,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
40004298,Viaje y Recreacion,Turismo,1,1
42002444,Educacion,Alimentacion Consciente,15,20
40004995,Salud y Bienestar,Examenes de laboratorio,1,N/A
42002986,Escuela Empresarial,Destrezas para el trabajo,15,25
42000341,Salud y Bienestar,Capf Empresarial,N/A,N/A
42000180,Viaje y Recreacion,Todo Parque,4,N/A
42000166,Escuela Empresarial,Conferencia desarrollo humano,16,50
42002532,Educacion,Movimiento Consciente,25,30
40005018,Salud y Bienestar,Examenes de laboratorio,1,N/A
42002785,Servicios Financieros,Plan Exequial ,1,N/A
42002993,Escuela Empresarial,Destrezas para el trabajo,10,12
40000666,Viaje y Recreacion,Alimentacion,N/A,N/A
40001409,Escuela Empresarial,Conferencia desarrollo humano,15,50
42000109,Viaje y Recreacion,Escenarios,1,1
42000112,Viaje y Recreacion,Escenarios,1,1
42000659,Escuela Empresarial,Conferencia desarrollo humano,25,50
42002316,Educacion,Educacion,N/A,N/A
40005011,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
40002653,Salud y Bienestar,Plan Smart Fit,N/A,N/A
42001844,Viaje y Recreacion,Olimpiadas,12,12
42002539,Educacion,Movimiento Consciente,25,30
42003423,Escuela Empresarial,Mercadeo y Ventas,15,25
40004677,Salud y Bienestar,Asesoria Profesional salud,N/A,3
40004697,Viaje y Recreacion,Jornadas recreativas,24,30
42003122,Cultura,Lectura,20,40
40004681,Salud y Bienestar,Asesoria Profesional salud,1,1
40004891,Viaje y Recreacion,Escenarios,150,250
42001760,Cultura,Cultura - Conversatorio,15,30
42002504,Salud y Bienestar,Examenes de laboratorio,1,N/A
42002693,Escuela Empresarial,Competencias organizacionales,23,25
40001678,Educacion,Convenio matricula,4,N/A
42000454,Viaje y Recreacion,Alimentacion,N/A,N/A
42001337,Salud y Bienestar,Escuela Osteomuscular O Cardiovascular,4,12
42001339,Salud y Bienestar,Pausas activas,N/A,N/A
40004637,Salud y Bienestar,Baterias de riesgo psicosocial,N/A,N/A
40000422,Viaje y Recreacion,Alimentacion,N/A,N/A
42000379,Educacion,Parvulos-Ji,N/A,N/A
42001352,Salud y Bienestar,Pausas activas,10,30
40004307,Salud y Bienestar,Salud,N/A,N/A
42002477,Salud y Bienestar,Examenes de laboratorio,1,N/A
42003374,Cultura,Escritura,15,35
42003413,Escuela Empresarial,Gestion del talento humano,15,25
42003146,Educacion,Sin asignar,,
40003252,Viaje y Recreacion,Caminadas Ecologicas,18,25
42000178,Viaje y Recreacion,Todo Parque,8,N/A
40004498,Servicios Financieros,Educacion Financiera,1,1
10000329,Salud y Bienestar,Vacunacion,N/A,N/A
42002445,Educacion,Alimentacion Consciente,15,20
42002590,Viaje y Recreacion,Celebraciones empresariales,126,150
10000295,Salud y Bienestar,Vacunacion,N/A,N/A
40004203,Viaje y Recreacion,Programas Empresariales_Recreativos,N/A,N/A
41000140,Salud y Bienestar,Alimentacion sana y consciente,10,30
40004497,Viaje y Recreacion,Sin asignar,N/A,N/A
40005014,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
42002777,Escuela Empresarial,Sostenibilidad,13,20
"42002784,Escuela Empresarial,""Equidad, diversidad e inclusion"",26,30",,,,
42002923,Cultura,Cultura - Cine Y Teatro,30,N/A
42002975,Escuela Empresarial,Destrezas para el trabajo,15,25
42000295,Escuela Empresarial,Curso Excel,16,20
40004650,Cultura,Escenarios,1,289
42001620,Educacion,Movimiento Consciente,25,30
40005022,Salud y Bienestar,Examenes de laboratorio,1,N/A
40000106,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42000390,Educacion,Escenarios,1,8
40004684,Salud y Bienestar,Asesoria Profesional salud,5,10
42001858,Salud y Bienestar,Asesoria Profesional salud,1,1
40004694,Servicios Financieros,Otros servicios,N/A,N/A
42000137,Viaje y Recreacion,Escenarios,1,1
42001615,Educacion,Educacion,N/A,N/A
42001863,Salud y Bienestar,Asesoria Profesional salud,1,2
41000916,Escuela Empresarial,Competencias organizacionales,1,N/A
40002496,Salud y Bienestar,Salud,N/A,N/A
40003382,Salud y Bienestar,Cita medica ocupacional,1,N/A
42000105,Viaje y Recreacion,Alimentacion,N/A,N/A
42002075,Viaje y Recreacion,Alimentacion,N/A,N/A
42002501,Salud y Bienestar,Examenes de laboratorio,1,N/A
40005005,Salud y Bienestar,Examenes de laboratorio,1,N/A
40002773,Viaje y Recreacion,Alimentacion,N/A,N/A
42002241,Viaje y Recreacion,Conversaciones con sabor,1,1
40003184,Viaje y Recreacion,Alimentacion,N/A,N/A
40003678,Educacion,Educacion,N/A,N/A
42000072,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42000227,Educacion,Educacion,N/A,N/A
42002721,Escuela Empresarial,Competencias organizacionales,1,N/A
10000028,Salud y Bienestar,Vacunacion,N/A,N/A
40000181,Escuela Empresarial,Taller desarrollo humano,20,25
42000057,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42000577,Salud y Bienestar,SG-SST,N/A,N/A
42001009,Viaje y Recreacion,Conversaciones con sabor,37,50
42001054,Escuela Empresarial,Conferencia desarrollo humano,25,50
42002541,Educacion,Movimiento Consciente,25,30
42003070,Escuela Empresarial,Destrezas para el trabajo,15,25
40003163,Salud y Bienestar,Capf Empresarial,N/A,N/A
40003469,Salud y Bienestar,Cita medica ocupacional,N/A,N/A
42002530,Educacion,Movimiento Consciente,25,30
40005009,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
42002706,Escuela Empresarial,Competencias organizacionales,1,N/A
42003058,Escuela Empresarial,Destrezas para el trabajo,15,25
40000105,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
40003383,Salud y Bienestar,Cita medica ocupacional,1,N/A
42000077,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42001018,Viaje y Recreacion,Conversaciones con sabor,36,50
42002443,Viaje y Recreacion,Otros servicios,N/A,N/A
42002464,Viaje y Recreacion,Rituales empresariales,36,40
42002506,Salud y Bienestar,Examenes de laboratorio,1,N/A
42002668,Educacion,Arte Manual,15,25
42002983,Escuela Empresarial,Destrezas para el trabajo,15,25
10000020,Salud y Bienestar,Vacunacion,N/A,N/A
40001399,Educacion,Educacion,N/A,N/A
42001026,Viaje y Recreacion,Conversaciones con sabor,1,1
42002449,Educacion,Alimentacion Consciente,25,30
42002495,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
40004989,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
42002690,Escuela Empresarial,Competencias organizacionales,16,20
40001418,Escuela Empresarial,Taller desarrollo humano,16,25
42001063,Escuela Empresarial,Conferencia desarrollo humano,25,50
40004495,Salud y Bienestar,Salud,N/A,N/A
42002764,Cultura,Cultura - Conversatorio,5,N/A
42002872,Viaje y Recreacion,Alimentacion,N/A,N/A
42003464,Viaje y Recreacion,Torneos,24,30
42000488,Viaje y Recreacion,Caminadas Ecologicas,18,25
42000164,Escuela Empresarial,Conferencia desarrollo humano,4,50
40004552,Educacion,Tecnicas De Relajacion,25,30
40004698,Viaje y Recreacion,Jornadas recreativas,25,30
40004699,Viaje y Recreacion,Jornadas recreativas,24,30
42002458,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
42002698,Educacion,Alimentacion Consciente,14,20
40000099,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
40002744,Salud y Bienestar,Capf Empresarial,N/A,N/A
40003603,Escuela Empresarial,Conferencia desarrollo humano,25,50
42000094,Viaje y Recreacion,Alimentacion,N/A,N/A
42000493,Viaje y Recreacion,Alimentacion,N/A,N/A
42000882,Viaje y Recreacion,Programas Empresariales_Recreativos,N/A,N/A
40004492,Viaje y Recreacion,Internos,N/A,N/A
42000466,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42002459,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
42002580,Viaje y Recreacion,Celebraciones empresariales,117,150
41000763,Salud y Bienestar,Cita medica ocupacional,12,24
42002703,Educacion,Alimentacion Consciente,20,30
42000658,Escuela Empresarial,Conferencia desarrollo humano,25,50
40004653,Cultura,Escenarios,1,289
40004668,Viaje y Recreacion,Olimpiadas,24,24
40004683,Salud y Bienestar,Asesoria Profesional salud,N/A,3
42001696,Servicios Financieros,Plan Exequial ,1,N/A
42003007,Escuela Empresarial,Destrezas para el trabajo,2,6
42003375,Educacion,Ingles general,1,N/A
40000664,Viaje y Recreacion,Alimentacion,N/A,N/A
42000168,Escuela Empresarial,Conferencia desarrollo humano,16,50
42000169,Escuela Empresarial,Conferencia desarrollo humano,4,50
42001802,Educacion,Actividades fisico deportivas,N/A,N/A
42001861,Salud y Bienestar,Asesoria Profesional salud,5,10
40001431,Escuela Empresarial,Conferencia desarrollo humano,16,50
40003606,Escuela Empresarial,Conferencia desarrollo humano,25,50
42000097,Viaje y Recreacion,Alimentacion,N/A,N/A
42002529,Educacion,Movimiento Consciente,25,30
42002553,Educacion,Tecnicas De Relajacion,25,30
42003466,Viaje y Recreacion,Torneos,12,12
40001995,Salud y Bienestar,Talleres Educativos Salud,15,20
42000834,Escuela Empresarial,Conferencia desarrollo humano,20,50
42000162,Escuela Empresarial,Conferencia desarrollo humano,16,50
40004667,Viaje y Recreacion,Olimpiadas,12,12
40001435,Escuela Empresarial,Conferencia desarrollo humano,16,50
41000103,Salud y Bienestar,Pausas activas,N/A,N/A
42001086,Salud y Bienestar,Cita medica ocupacional,1,N/A
42002526,Educacion,Movimiento Consciente,25,30
42003074,Escuela Empresarial,Destrezas para el trabajo,15,25
40004043,Viaje y Recreacion,Conversaciones con sabor,1,1
42000052,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42000095,Viaje y Recreacion,Alimentacion,N/A,N/A
42002589,Viaje y Recreacion,Celebraciones empresariales,86,100
42003029,Escuela Empresarial,Destrezas para el trabajo,15,25
42003471,Educacion,Destrezas para el trabajo,3,5
40000030,Salud y Bienestar,Asesoria Profesional salud,N/A,N/A
40003116,Viaje y Recreacion,Escenarios,1,1
42000154,Escuela Empresarial,Taller desarrollo humano,20,25
42000399,Viaje y Recreacion,Todo Parque,N/A,N/A
42001614,Educacion,Educacion,N/A,N/A
42002531,Educacion,Movimiento Consciente,25,30
40000970,Viaje y Recreacion,Escenarios,1,1
40001073,Viaje y Recreacion,Alimentacion,N/A,N/A
41000278,Viaje y Recreacion,Todo Parque,1,N/A
42003022,Escuela Empresarial,Destrezas para el trabajo,15,25
42003129,Cultura,Auditorios y salones,50,Máximo: 300 personas sentadas o 600 de pie
40000044,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
40000642,Viaje y Recreacion,Alimentacion,N/A,N/A
40003636,Salud y Bienestar,Alimentacion sana y consciente,10,30
42000155,Escuela Empresarial,Taller desarrollo humano,20,25
42002450,Educacion,Alimentacion Consciente,25,30
42002490,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
42002667,Educacion,Arte Manual,15,25
42002707,Escuela Empresarial,Competencias organizacionales,1,N/A
40002372,Viaje y Recreacion,Todo Parque,N/A,N/A
40003590,Salud y Bienestar,Pausas activas,10,30
40004928,Escuela Empresarial,Taller diversidad e inclusion,10,30
42001853,Salud y Bienestar,Asesoria Profesional salud,N/A,N/A
42002980,Escuela Empresarial,Destrezas para el trabajo,15,25
40001440,Escuela Empresarial,Conferencia desarrollo humano,4,50
40003117,Viaje y Recreacion,Escenarios,1,1
42000226,Viaje y Recreacion,Implementos Y Otros,N/A,N/A
42000666,Cultura,Cultura - Cine Y Teatro,N/A,0
42002469,Educacion,Auditorios y salones,N/A,N/A
40000430,Viaje y Recreacion,Alimentacion,N/A,N/A
40000437,Viaje y Recreacion,Alimentacion,N/A,N/A
40001994,Educacion,Auditorios Y Salones,N/A,N/A
40004053,Viaje y Recreacion,Caminadas Ecologicas,19,25
41000000,Salud y Bienestar,Fisioteka,5,50
42000055,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42000123,Viaje y Recreacion,Alimentacion,N/A,N/A
42000142,Viaje y Recreacion,Alimentacion,N/A,N/A
42002252,Salud y Bienestar,Capf empresarial,N/A,N/A
42002482,Salud y Bienestar,Examenes de laboratorio,1,N/A
42002523,Educacion,Movimiento Consciente,25,30
42002965,Educacion,Educacion,N/A,N/A
42003047,Salud y Bienestar,Sin asignar,N/A,N/A
40000076,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
40001106,Viaje y Recreacion,Alimentacion,N/A,N/A
42000183,Viaje y Recreacion,Todo Parque,4,N/A
42002675,Educacion,Arte Manual,15,25
42003393,Escuela Empresarial,Destrezas para el trabajo,15,25
42000099,Viaje y Recreacion,Alimentacion,N/A,N/A
42001845,Viaje y Recreacion,Olimpiadas,24,24
42002551,Educacion,Tecnicas De Relajacion,25,30
42002554,Educacion,Tecnicas De Relajacion,25,30
42002563,Viaje y Recreacion,Escenarios,1,1
"42002781,Escuela Empresarial,""Equidad, diversidad e inclusion"",25,50",,,,
42002948,Escuela Empresarial,Administracion y gerencia,N/A,N/A
42003002,Escuela Empresarial,Destrezas para el trabajo,2,6
40003597,Salud y Bienestar,Sueño reparador,10,30
40003619,Cultura,Cultura - Cine Y Teatro,N/A,0
40003817,Escuela Empresarial,Conferencia desarrollo humano,20,50
42001124,Salud y Bienestar,Preven. consumo sustancias psicoactivas,10,30
40004781,Cultura,Lectura,10,30
42002483,Salud y Bienestar,Examenes de laboratorio,1,N/A
40004997,Salud y Bienestar,Examenes de laboratorio,1,N/A
42002695,Escuela Empresarial,Competencias organizacionales,16,20
40002654,Salud y Bienestar,Plan Smart Fit,N/A,N/A
40003679,Educacion,Educacion,N/A,N/A
40004058,Viaje y Recreacion,Caminadas Ecologicas,20,25
41000101,Salud y Bienestar,Cita medica ocupacional,N/A,N/A
40004934,Salud y Bienestar,Cita medica ocupacional,1,1
40000052,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42000223,Viaje y Recreacion,Implementos Y Otros,N/A,N/A
42000134,Viaje y Recreacion,Escenarios,1,1
42001425,Viaje y Recreacion,Jornadas de Integracion,17,20
42003020,Escuela Empresarial,Destrezas para el trabajo,15,25
40000977,Viaje y Recreacion,Escenarios,1,1
40004674,Salud y Bienestar,Asesoria Profesional salud,N/A,4
42002442,Servicios Financieros,Vida Comfama,1,N/A
42002981,Escuela Empresarial,Destrezas para el trabajo,15,25
42003011,Escuela Empresarial,Destrezas para el trabajo,12,15
40001830,Viaje y Recreacion,Todo Parque,N/A,N/A
42000717,Educacion,Educacion,N/A,N/A
42001873,Viaje y Recreacion,Jornadas recreativas,24,30
42001854,Salud y Bienestar,Asesoria Profesional salud,N/A,3
40000095,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42000151,Educacion,Educacion,N/A,N/A
42000514,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42001084,Salud y Bienestar,Cita medica ocupacional,1,N/A
42002919,Cultura,Cultura - Cine Y Teatro,30,N/A
42003021,Escuela Empresarial,Destrezas para el trabajo,15,25
42003450,Viaje y Recreacion,Torneos,32,32
40001844,Viaje y Recreacion,Todo Parque,1,N/A
40003850,Cultura,Cultura - Conversatorio,N/A,N/A
42001359,Salud y Bienestar,Sueño reparador,10,30
40004528,Educacion,Movimiento Consciente,25,30
42001806,Salud y Bienestar,Programa de vigilancia epidemiologica empresas,N/A,N/A
42001872,Viaje y Recreacion,Jornadas recreativas,24,30
40004984,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
41000764,Salud y Bienestar,Cita medica ocupacional,14,16
42003014,Escuela Empresarial,Destrezas para el trabajo,15,25
40004052,Viaje y Recreacion,Caminadas Ecologicas,19,25
40004054,Viaje y Recreacion,Conversaciones con sabor,37,50
42000111,Viaje y Recreacion,Escenarios,1,1
42000179,Viaje y Recreacion,Todo Parque,8,N/A
42000181,Viaje y Recreacion,Todo Parque,4,N/A
42002467,Educacion,Auditorios y salones,N/A,N/A
40003502,Salud y Bienestar,SG-SST,N/A,N/A
40004180,Salud y Bienestar,Cita medica ocupacional,1,N/A
42002560,Viaje y Recreacion,Escenarios,1,1
42002297,Salud y Bienestar,SG-SST,1,10
42002585,Viaje y Recreacion,Celebraciones empresariales,125,150
40003680,Educacion,Educacion,N/A,N/A
42000654,Escuela Empresarial,Conferencia desarrollo humano,25,50
42001850,Salud y Bienestar,Asesoria Profesional salud,N/A,15
42002604,Educacion,Música,15,20
42002699,Educacion,Alimentacion Consciente,14,20
42003055,Escuela Empresarial,Destrezas para el trabajo,15,25
40000004,Salud y Bienestar,Cita medica ocupacional,N/A,N/A
40003183,Viaje y Recreacion,Alimentacion,N/A,N/A
40003264,Servicios Financieros,Educacion Financiera,10,30
42000560,Salud y Bienestar,Cita medica ocupacional,N/A,N/A
40004302,Salud y Bienestar,Salud,N/A,N/A
42001800,Salud y Bienestar,Baterias de riesgo psicosocial,N/A,N/A
42002880,Educacion,Colegios,N/A,N/A
40000031,Salud y Bienestar,Cita medica ocupacional,N/A,N/A
42002441,Servicios Financieros,Vida Comfama,1,N/A
42002581,Viaje y Recreacion,Celebraciones empresariales,1,1
42002606,Educacion,Lectura,15,20
41000769,Salud y Bienestar,Cita medica ocupacional,1,1
40001433,Escuela Empresarial,Conferencia desarrollo humano,4,50
40004490,Educacion,Educacion,N/A,N/A
42001697,Servicios Financieros,Plan Exequial ,1,N/A
42002246,Viaje y Recreacion,Caminadas Ecologicas,1,10
42002466,Viaje y Recreacion,Jornadas recreativas,24,30
42002671,Educacion,Arte Manual,15,25
40005000,Salud y Bienestar,Examenes de laboratorio,1,N/A
42003421,Escuela Empresarial,Mercadeo y Ventas,15,25
40001682,Salud y Bienestar,Salud,N/A,N/A
42000043,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42001713,Escuela Empresarial,Conferencia diversidad e inclusion,15,50
42002240,Viaje y Recreacion,Conversaciones con sabor,1,1
42003469,Viaje y Recreacion,Torneos,6,6
40000439,Viaje y Recreacion,Alimentacion,N/A,N/A
40003263,Servicios Financieros,Educacion Financiera,1,30
42002961,Viaje y Recreacion,Alimentacion,N/A,N/A
42003463,Viaje y Recreacion,Torneos,28,36
42000140,Viaje y Recreacion,Alimentacion,N/A,N/A
42000006,Salud y Bienestar,Cita medica ocupacional,N/A,N/A
42002423,Viaje y Recreacion,Todo parque,1,N/A
42002476,Salud y Bienestar,Examenes de laboratorio,1,N/A
40004999,Salud y Bienestar,Examenes de laboratorio,1,N/A
"42002782,Escuela Empresarial,""Equidad, diversidad e inclusion"",25,50",,,,
42002994,Escuela Empresarial,Destrezas para el trabajo,10,12
42003408,Escuela Empresarial,Gestion del talento humano,15,25
40000027,Salud y Bienestar,Fisioteka,5,50
40002760,Salud y Bienestar,Capf Empresarial,N/A,N/A
42000058,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42002680,Salud y Bienestar,Plan Capf,1,1
10000001,Salud y Bienestar,Vacunacion,N/A,N/A
10000009,Salud y Bienestar,Vacunacion,N/A,N/A
40000937,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
40001647,Viaje y Recreacion,Todo Parque,4,N/A
42002299,Salud y Bienestar,SG-SST,51,200
42001349,Salud y Bienestar,Capf Empresarial,N/A,N/A
42002119,Viaje y Recreacion,Escenarios,150,250
42002473,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
42002977,Escuela Empresarial,Destrezas para el trabajo,15,25
42000133,Viaje y Recreacion,Escenarios,1,1
42001336,Salud y Bienestar,Fisioteka,5,50
42000323,Salud y Bienestar,Plan Smart Fit,N/A,N/A
42002875,Viaje y Recreacion,Alimentacion,N/A,N/A
42002921,Cultura,Cultura - Cine Y Teatro,30,N/A
42002995,Escuela Empresarial,Destrezas para el trabajo,10,12
41000913,Escuela Empresarial,Competencias organizacionales,1,N/A
40000974,Viaje y Recreacion,Escenarios,1,1
40003379,Salud y Bienestar,Cita medica ocupacional,14,16
42000004,Salud y Bienestar,Cita medica ocupacional,N/A,N/A
42000657,Escuela Empresarial,Conferencia desarrollo humano,25,50
40004493,Viaje y Recreacion,Programas Empresariales_Recreativos,N/A,N/A
42001805,Salud y Bienestar,Programa de vigilancia epidemiologica empresas,N/A,N/A
40003712,Cultura,Cultura Y Territorio,N/A,N/A
42000005,Salud y Bienestar,Cita medica ocupacional,N/A,N/A
40004696,Viaje y Recreacion,Jornadas recreativas,24,30
41000629,Escuela Empresarial,Curso desarrollo humano,2,25
42002692,Escuela Empresarial,Competencias organizacionales,15,20
40000006,Salud y Bienestar,Cita medica ocupacional,N/A,N/A
40000100,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
40003354,Salud y Bienestar,Cita medica ocupacional,N/A,N/A
40003607,Escuela Empresarial,Conferencia desarrollo humano,25,50
42001185,Salud y Bienestar,Salud,N/A,N/A
42003131,Cultura,Auditorios y salones,5,76
40004122,Escuela Empresarial,Conferencia desarrollo humano,25,50
42000145,Viaje y Recreacion,Alimentacion,N/A,N/A
42002484,Salud y Bienestar,Examenes de laboratorio,1,N/A
42002528,Educacion,Movimiento Consciente,25,30
42002973,Escuela Empresarial,Destrezas para el trabajo,15,25
42003411,Escuela Empresarial,Gestion del talento humano,15,25
10000011,Salud y Bienestar,Vacunacion,N/A,N/A
10000225,Salud y Bienestar,Vacunacion,N/A,N/A
42000152,Viaje y Recreacion,Programas Empresariales_Recreativos,N/A,N/A
42000286,Viaje y Recreacion,Todo Parque,N/A,N/A
42000716,Educacion,Educacion,N/A,N/A
42000182,Viaje y Recreacion,Todo Parque,4,N/A
40004787,Cultura,Cultura - Cine Y Teatro,N/A,N/A
42002708,Escuela Empresarial,Competencias organizacionales,1,N/A
42003009,Escuela Empresarial,Destrezas para el trabajo,12,15
10000093,Salud y Bienestar,Vacunacion,N/A,N/A
40000050,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
40000054,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42000029,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42000189,Escuela Empresarial,Competencias familiares,4,N/A
42001847,Viaje y Recreacion,Conversaciones con sabor,23,30
42003465,Viaje y Recreacion,Torneos,6,6
10000007,Salud y Bienestar,Vacunacion,N/A,N/A
40004066,Viaje y Recreacion,Aventura Empresarial,17,26
42001874,Viaje y Recreacion,Jornadas recreativas,25,30
